subbasn,MassFlux_Low,MassFlux_Median,MassFlux_High,subbasin,mask,name
1.0,1187025.1416344617,4942665.004947395,13949466.831082588,1,0,Alabama
2.0,5069.860433198943,21110.438915081148,59579.06658467819,2,0,Alazeya
3.0,3700.687154523191,15409.32559165021,43489.06430335034,3,0,Albany
4.0,3839514.5582325496,15987390.306519795,45120511.01443051,4,0,Upper_subbasin
5.0,2504292.4105119808,10427646.412399769,29429489.477929134,5,0,Madeira_subbasin
6.0,1062165.3686055425,4422760.237112445,12482162.389657566,6,0,Araguaia_Tocantins
7.0,1387364.3619410596,5776859.343884824,16303776.955284173,7,0,Negro_subbasin
8.0,1368773.5072938395,5699448.711663206,16085304.320487417,8,0,Xingu_subbasin
9.0,5073413.653611138,21125234.20253567,59620822.676057346,9,0,Tapajos_subbasin
10.0,8475161.437947003,35289803.37597606,99596865.49176598,10,0,Middle_Amazon
11.0,4053286.058243038,16877515.439591598,47632672.16774951,11,0,Purus_subbasin
12.0,7557171.007103938,31467374.50041157,88808991.99427274,12,0,Delta_subbasin
13.0,632445.7931221713,2633446.9081984963,7432261.798151723,13,0,Trombetas_subbasin
14.0,3866.399246567245,16099.335709814155,45436.44962013892,14,0,Amgerman
15.0,11247470.141477382,46833445.31854102,132175980.24595666,15,0,Songhua_subbasin
16.0,592529.280194903,2467238.169524708,6963178.159093573,16,0,Downstream_subbasin
17.0,307688.4591882152,1281186.831107659,3615837.445399824,17,0,Argun_subbasin
18.0,12083894.805167142,50316241.7391811,142005323.95031497,18,0,Middlestream_stem_subbasi
19.0,145932.17718010666,607648.3470693114,1714939.2997342604,19,0,Zeya_subbasin
20.0,8985.873226323465,37416.36093190673,105598.55568544693,20,0,Anabar
21.0,104870.70060462694,436672.0836334446,1232400.4844769542,21,0,Anadyr
22.0,2822.4257704521006,11752.324862695461,33168.07141414237,22,0,Araye
23.0,9068.893646652821,37762.05043069269,106574.18000802219,23,0,Baker
24.0,3136324.5948280366,13059371.091051461,36856890.703107655,24,0,Balsas
25.0,952648.8782124658,3966743.5062577166,11195166.355107488,25,0,Bandama
26.0,3356500.861745098,13976165.092493122,39444318.23486328,26,0,Brahmani
27.0,2096067.920405931,8727836.669000914,24632190.933326337,27,0,Brazos
28.0,103508.37375253148,430999.47820919834,1216390.9387901362,28,0,Bug
29.0,552705.7895455946,2301416.767177528,6495187.6823749915,29,0,Burdekin
30.0,3078289.961193999,12817720.141398503,36174889.81825922,30,0,Cauweri
31.0,35121494.72692025,146242717.8830981,412734413.59179413,31,0,Chao Phraya
32.0,8500.275273332341,35394.375108237946,99891.99370887066,32,0,Churchill
33.0,58717.13498844696,244492.82337740113,690021.3805157709,33,0,Upper_subbasin
34.0,447500.5604216978,1863351.737137678,5258855.94630114,34,0,Lower_delta_subbasin
35.0,82669.34268231307,344227.64331279945,971498.5919392145,35,0,Gila_subbasin
36.0,2862832.540086157,11920574.9858211,33642916.363075264,36,0,Colorado (Texas)
37.0,33353.3210112676,138880.20293670835,391955.5103209448,37,0,Snake-subbasin
38.0,46135.45561805148,192103.85186674338,542166.2821688359,38,0,Columbia_subbasin
39.0,146172.60665156157,608649.4735771138,1717764.7352028445,39,0,Delta_subbasin
40.0,400150.1973815405,1666189.120979536,4702412.535373123,40,0,Comoe
41.0,1695447.5713541745,7059689.879117923,19924253.354801867,41,0,Lualaba_subbasin
42.0,1330138.6006569834,5538576.465317641,15631281.629855344,42,0,Kasai_subbasin
43.0,753580.9844380968,3137842.8556679967,8855796.375533659,43,0,Ubangi_subbasin
44.0,16983462.304418102,70717596.3259762,199583172.91090456,44,0,Delta_subbasin
45.0,236971.8993543357,986729.4912404465,2784803.3996906695,45,0,Songha_subbasin
46.0,28301.17004792797,117843.50464754965,332584.5586731234,46,0,Copper
47.0,880244.3578462856,3665257.651862793,10344296.040871548,47,0,Cross
48.0,930937.6796831754,3876340.0451832297,10940024.62885023,48,0,Cuanza
49.0,64923.57451182552,270335.8745155481,762957.0911707941,49,0,Dalalven
50.0,532772.3929016296,2218415.9118744973,6260938.005967185,50,0,Damodar
51.0,4091092.679242495,17034938.779683642,48076961.16141064,51,0,Middlestream_subbasin
52.0,3091155.8509403453,12871292.53913156,36326084.84856995,52,0,Downstream_delta_subbasin
53.0,1244641.4157395454,5182573.943474621,14626551.314274546,53,0,Tisza_subbasin
54.0,3246320.7005129745,13517384.89647165,38149522.993682005,54,0,Upstream_subbasin
55.0,1472639.1906042022,6131935.994456723,17305894.224952817,55,0,Sava_subbasin
56.0,53762.19181269593,223860.88949724304,631792.7777206644,56,0,Siret_subbasin
57.0,369994.59258833196,1540623.9182836737,4348035.3667018,57,0,Drava_subbasin
58.0,1389513.8844942816,5785809.760795561,16329037.324679168,58,0,Prut_subbasin
59.0,237023.4397537962,986944.1007881461,2785409.082811875,59,0,Daugava
60.0,490783.7842702352,2043579.15466558,5767503.888320406,60,0,Dnestr
61.0,517664.6199862428,2155508.516005228,6083397.219523073,61,0,Pripet_subbasin
62.0,3756969.9697043584,15643682.12818728,44150478.485739596,62,0,Middlestream_stem_subbasi
63.0,2896751.9686916275,12061812.409423787,34041524.55397657,63,0,Downstream_subbasin
64.0,610390.5480231097,2541610.8684187774,7173076.967797475,64,0,Upstream_subbasin
65.0,1435888.2598820971,5978908.452909224,16874011.300877992,65,0,Desna_subbasin
66.0,922897.2330122724,3842860.3546606707,10845536.365536436,66,0,Doce
67.0,376966.600004359,1569654.7246758456,4429967.739306827,67,0,Upstream_subbasin
68.0,360611.31531451724,1501552.8029498046,4237766.6701873345,68,0,Middstream_stem_subbasin
69.0,254728.94511069512,1060668.2188821854,2993477.430347915,69,0,Donets_subbasin
70.0,228420.6443307733,951122.8410770431,2684312.311396564,70,0,Downstream_subbasin
71.0,142897.03921562198,595010.3079275378,1679271.5157267195,71,0,Khopyor_subbasin
72.0,2456150.475542282,10227187.76253702,28863743.81552534,72,0,Douro
73.0,6060.6742804139585,25236.09789000709,71222.7331025348,73,0,Vychegda_subbasin
74.0,16174.150926898436,67347.6971692791,190072.45420684793,74,0,Sukhona_subbasin
75.0,27609.46328438597,114963.30043457326,324455.8845478402,75,0,Downstream_subbasin
76.0,11595.996871328185,48284.679003912104,136271.7334758378,76,0,Middlestream_stem_subbasi
77.0,1129400.5787628712,4702721.5527483765,13272284.941467296,77,0,Ebro
78.0,146721.33667249396,610934.3356044607,1724213.2011685069,78,0,Elbe
79.0,142090.60016085795,591652.3688622231,1669794.5514644205,79,0,Essequibo
80.0,208632.13273184389,868725.2739578258,2451765.2687908197,80,0,Evros
81.0,744805.749045552,3101303.5715672537,8752673.155350897,81,0,Fitzroy East
82.0,80157.53773118336,333768.71536279196,941980.8179486088,82,0,Fraser
83.0,3903194.6262647803,16252548.332863014,45868854.891623825,83,0,Fuchun
84.0,3532644.1296919016,14709609.680818316,41514286.75327153,84,0,Middlestream_stem_subbasi
85.0,4301767.65340975,17912170.260055564,50552733.12377932,85,0,Brahmaputra_subbasin
86.0,4522914.122384525,18833004.094850533,53151562.100162216,86,0,Upstream_subbasin
87.0,37468570.216683574,156015727.29994112,440316349.76664126,87,0,Downstream_subbasin
90.0,24546.262324926884,102208.40952755143,288458.31492427,90,0,land
91.0,711831.0606556353,2963999.96051697,8365167.191216842,91,0,Garonne_Dordogne
92.0,11366.796262292417,47330.30846056049,133578.2553166423,92,0,Glama
93.0,70411688.65349393,293187883.92946047,827451315.8499659,93,0,Godavari
94.0,16000.828346967395,66625.99766996372,188035.63333842333,94,0,Gota
95.0,5688.764998690896,23687.501379863606,66852.19703922604,95,0,Gourits
96.0,190653.87757057633,793865.4504217745,2240491.6695580995,96,0,Great Artesian Basin
97.0,701646.1886838165,2921591.0775798624,8245478.4594734805,97,0,Guadalquivir
98.0,193570.95574509833,806011.8993083185,2274772.059932258,98,0,Guadiana
99.0,220550.80822808156,918353.5574830276,2591828.998423601,99,0,Hai
100.0,871328.7369861683,3628133.8154105996,10239523.064205302,100,0,Hanjiang
101.0,1799648.4796924414,7493573.008516612,21148782.69596804,101,0,Hong
102.0,1563704.046640507,6511121.793749444,18376053.68847236,102,0,Huai
103.0,29211.341301589815,121633.37517867345,343280.54418197164,103,0,Incomati
104.0,32193.664985417105,134051.50044700768,378327.67490223394,104,0,Indigirka
105.0,2883328.5531037836,12005918.524664493,33883777.692570895,105,0,Sutlej_subbasin
106.0,958359.7562905803,3990523.0844942406,11262278.416623998,106,0,Middstream_stem_subbasin
107.0,1221286.5529314782,5085326.413453619,14352093.872170977,107,0,Upstream_subbasin
108.0,4092606.948876913,17041244.0610695,48094756.28073687,108,0,Downstream_subbasin
109.0,35807.24748439094,149098.13015493043,420793.1185080937,109,0,Land (upstream_subbasin)
110.0,16239.922802618385,67621.5652930689,190845.38021034456,110,0,Land (upstream_subbasin)
111.0,6522180.102407858,27157766.26579889,76646173.54238176,111,0,Irrawaddy
112.0,689108.8508152013,2869386.740060036,8098144.445547281,112,0,Jiulong
113.0,191842.97695455817,798816.7523836847,2254465.512094304,113,0,Jubba
114.0,3766338.734697005,15682692.815698897,44260576.63945956,114,0,Kaladan
115.0,5629.406083091659,23440.336240244076,66154.6336976944,115,0,Kalix
116.0,3458.284267502313,14399.981960455863,40640.43800753286,116,0,Kem
117.0,4905.721904238686,20426.980970847282,57650.17318122333,117,0,Kemijoki
118.0,13376.984726167328,55700.55086339843,157201.22362415187,118,0,Khatanga
119.0,36301.62340873856,151156.66665500568,426602.8358568579,119,0,Kokemaenjoki
120.0,5639.97628972856,23484.349621769703,66278.850735487,120,0,Koksoak
121.0,57261.574981897,238432.00355595295,672916.1943492325,121,0,Upstream_subbasin
122.0,64927.64804043187,270352.8363191217,763004.9617256685,122,0,Middlestream_stem_subbasi
123.0,106179.85344732675,442123.2773064194,1247785.1494815329,123,0,Omalon_subbasin
